point_index,x,y,z,x_D,y_D,z_D,nut,nutEq_true,nut_pred,delta_nut_true,delta_nut_pred,delta_error,relative_error,ID,ax,theta,z_original,ax_d,z_d
53593,-630.0,-8.881784e-16,397.3777,-5.0,-7.0490355e-18,3.1537912,31.006351,11.620606,1.4068928,-19.385746,-29.599459,-10.213713,0.52686715,3,-625.0,-1.5707963267948966,397.3777,-4.9603174603174605,3.1537912
53602,-630.0,-8.881784e-16,425.1334,-5.0,-7.0490355e-18,3.3740745,32.958504,5.758601,1.4906693,-27.199902,-31.467834,-4.267933,0.15690987,3,-625.0,-1.5707963267948966,425.1334,-4.9603174603174605,3.3740745
55576,-616.0,-1.9652135e-14,102.47897,-4.888889,-1.5596932e-16,0.81332517,13.960799,4.707435,0.6414671,-9.253365,-13.319332,-4.0659676,0.43940422,4,-611.0,-1.570796326794895,102.47897,-4.849206349206349,0.81332517
55579,-619.5,-1.6994383e-14,102.47903,-4.9166665,-1.3487606e-16,0.8133256,13.957537,5.2391315,0.64395714,-8.718405,-13.31358,-4.595175,0.527066,4,-614.5,-1.5707963267948952,102.47903,-4.876984126984127,0.8133256
55823,-626.5,-1.7791729e-14,133.7038,-4.9722223,-1.4120419e-16,1.0611413,13.959577,5.1948414,0.78568554,-8.764735,-13.173891,-4.409156,0.50305635,4,-621.5,-1.5707963267948961,133.7038,-4.932539682539683,1.0611413
55824,-626.5,-1.8240106e-14,130.23436,-4.9722223,-1.4476275e-16,1.033606,13.809457,5.056312,0.76758194,-8.753145,-13.041875,-4.2887297,0.48996443,4,-621.5,-1.5707963267948961,130.23436,-4.932539682539683,1.033606
55839,-630.0,-1.8593593e-14,144.11209,-5.0,-1.475682e-16,1.1437467,13.20278,6.939229,0.8100891,-6.2635508,-12.392691,-6.12914,0.9785408,4,-625.0,-1.5707963267948961,144.11209,-4.9603174603174605,1.1437467
55968,-630.0,-1.396011e-14,161.45926,-5.0,-1.10794523e-16,1.2814227,13.961413,6.5598626,0.90329075,-7.401551,-13.058123,-5.656572,0.76424146,4,-625.0,-1.5707963267948963,161.45926,-4.9603174603174605,1.2814227
55971,-630.0,-1.513302e-14,157.98982,-5.0,-1.2010333e-16,1.2538875,12.97305,6.036488,0.8545933,-6.936562,-12.118457,-5.181895,0.7470408,4,-625.0,-1.5707963267948963,157.98982,-4.9603174603174605,1.2538875
55982,-630.0,-9.769963e-15,175.33699,-5.0,-7.753939e-17,1.3915634,12.119008,5.125939,0.9261446,-6.993069,-11.192863,-4.1997943,0.60056525,4,-625.0,-1.5707963267948963,175.33699,-4.9603174603174605,1.3915634
55983,-626.5,-9.744284e-15,175.337,-4.9722223,-7.7335584e-17,1.3915635,14.3936405,7.1401978,0.9543972,-7.253443,-13.439243,-6.1858006,0.8528089,4,-621.5,-1.5707963267948963,175.337,-4.932539682539683,1.3915635
56109,-630.0,-5.6813964e-15,185.7453,-5.0,-4.509045e-17,1.474169,14.544915,6.2268085,0.9892168,-8.318107,-13.555698,-5.2375917,0.6296615,4,-625.0,-1.5707963267948966,185.7453,-4.9603174603174605,1.474169
56123,-626.5,-5.345983e-15,196.15361,-4.9722223,-4.2428436e-17,1.5567747,18.272545,7.9781137,1.1017342,-10.294432,-17.17081,-6.876379,0.6679707,4,-621.5,-1.5707963267948966,196.15361,-4.932539682539683,1.5567747
56124,-630.0,-2.1592706e-15,196.1536,-5.0,-1.7137068e-17,1.5567746,16.573967,10.18732,1.0598936,-6.386647,-15.514073,-9.127426,1.429142,4,-625.0,-1.5707963267948966,196.1536,-4.9603174603174605,1.5567746
56125,-630.0,-3.2389058e-15,192.68417,-5.0,-2.5705602e-17,1.5292394,11.857492,7.7482743,0.97988796,-4.109218,-10.8776045,-6.7683864,1.6471226,4,-625.0,-1.5707963267948966,192.68417,-4.9603174603174605,1.5292394
56126,-626.5,-5.7011005e-15,192.68417,-4.9722223,-4.524683e-17,1.5292394,13.290919,5.4869204,0.99609756,-7.803999,-12.294822,-4.490823,0.5754515,4,-621.5,-1.5707963267948966,192.68417,-4.932539682539683,1.5292394
56192,-630.0,3.7007435e-17,216.97021,-5.0,2.937098e-19,1.7219858,19.035063,8.333984,1.168539,-10.701078,-17.866524,-7.1654453,0.6696003,4,-625.0,-1.5707963267948966,216.97021,-4.9603174603174605,1.7219858
56196,-630.0,1.8503718e-17,223.90907,-5.0,1.468549e-19,1.7770561,15.9963045,8.300032,1.1412821,-7.696273,-14.855022,-7.1587496,0.93015796,4,-625.0,-1.5707963267948966,223.90907,-4.9603174603174605,1.7770561
56270,-581.0,-3.6317995e-15,126.764946,-4.611111,-2.8823807e-17,1.006071,20.374481,7.131101,1.1109657,-13.24338,-19.263515,-6.020136,0.454577,4,-576.0,-1.5707963267948966,126.764946,-4.571428571428571,1.006071
56271,-581.0,-2.6829311e-15,123.29552,-4.611111,-2.1293105e-17,0.97853583,14.919711,6.4579134,0.7689781,-8.461798,-14.150733,-5.6889353,0.6723081,4,-576.0,-1.5707963267948966,123.29552,-4.571428571428571,0.97853583
56272,-577.5,-5.751527e-15,126.76493,-4.5833335,-4.564704e-17,1.0060709,20.655184,5.413144,1.1281223,-15.24204,-19.527061,-4.285022,0.28113177,4,-572.5,-1.5707963267948963,126.76493,-4.5436507936507935,1.0060709
56306,-623.0,-1.7164328e-14,133.70381,-4.9444447,-1.3622483e-16,1.0611414,15.462749,5.6195216,0.8539753,-9.843227,-14.608773,-4.765546,0.48414466,4,-618.0,-1.5707963267948961,133.70381,-4.904761904761905,1.0611414
56307,-623.0,-1.7780885e-14,130.23439,-4.9444447,-1.4111814e-16,1.0336063,18.212124,5.663992,0.9987354,-12.548132,-17.213388,-4.6652565,0.37178892,4,-618.0,-1.5707963267948961,130.23439,-4.904761904761905,1.0336063
56324,-630.0,-1.8535437e-14,140.64265,-5.0,-1.4710665e-16,1.1162115,11.874588,7.368892,0.7505665,-4.505696,-11.124022,-6.6183257,1.4688798,4,-625.0,-1.5707963267948961,140.64265,-4.9603174603174605,1.1162115
56325,-626.5,-1.7630374e-14,140.64267,-4.9722223,-1.3992361e-16,1.1162117,13.578515,5.7880754,0.80427074,-7.7904396,-12.774244,-4.9838047,0.63973343,4,-621.5,-1.5707963267948961,140.64267,-4.932539682539683,1.1162117
56502,-630.0,-7.0442517e-15,182.27586,-5.0,-5.590676e-17,1.4466338,9.466285,5.1213446,0.8667736,-4.34494,-8.599511,-4.254571,0.97920126,4,-625.0,-1.5707963267948966,182.27586,-4.9603174603174605,1.4466338
56636,-630.0,0.0,64.31512,-5.0,0.0,0.5104374,8.765119,5.129438,0.4947052,-3.6356807,-8.270413,-4.6347327,1.2747909,4,-625.0,1.5707963267948966,64.31512,-4.9603174603174605,0.5104374
56787,-630.0,9.251859e-18,67.78455,-5.0,7.342745e-20,0.5379726,11.769784,4.9097037,0.52089405,-6.8600802,-11.24889,-4.3888097,0.6397607,4,-625.0,1.5707963267948966,67.78455,-4.9603174603174605,0.5379726
56792,-616.0,-1.5509028e-14,81.66235,-4.888889,-1.2308752e-16,0.6481139,14.745738,5.7995057,0.66036606,-8.946232,-14.085372,-5.13914,0.57444745,4,-611.0,1.5707963267948948,81.66235,-4.849206349206349,0.6481139
56801,-619.5,-1.1624832e-14,81.66239,-4.9166665,-9.226057e-17,0.6481142,15.029906,5.79166,0.68212414,-9.238247,-14.347782,-5.109535,0.5530849,4,-614.5,1.5707963267948952,81.66239,-4.876984126984127,0.6481142
57139,-616.0,-1.6655287e-14,85.13179,-4.888889,-1.3218481e-16,0.6756491,14.932331,5.386278,0.68279934,-9.546053,-14.249532,-4.703479,0.49271452,4,-611.0,1.5707963267948932,85.13179,-4.849206349206349,0.6756491
57145,-619.5,-1.24868394e-14,85.13183,-4.9166665,-9.91019e-17,0.6756494,14.940012,5.4410114,0.68506527,-9.499001,-14.254947,-4.755946,0.5006786,4,-614.5,1.570796326794894,85.13183,-4.876984126984127,0.6756494
59144,-630.0,-1.9539925e-14,314.1144,-5.0,-1.5507878e-16,2.4929714,28.09116,8.444679,1.3450756,-19.64648,-26.746084,-7.0996037,0.3613677,4,-625.0,-1.5707963267948966,314.1144,-4.9603174603174605,2.4929714
59165,-630.0,-9.238264e-15,300.23666,-5.0,-7.3319556e-17,2.3828306,25.390032,6.777612,1.2635765,-18.61242,-24.126455,-5.514036,0.29625574,4,-625.0,-1.5707963267948966,300.23666,-4.9603174603174605,2.3828306
141918,-630.0,609.0,90.0,-5.0,4.8333335,0.71428573,13.524521,5.0134697,0.602623,-8.511051,-12.921898,-4.4108467,0.51824933,3,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573
146530,-630.0,112.0,90.0,-5.0,0.8888889,0.71428573,18.307152,8.807049,0.97499084,-9.500103,-17.33216,-7.832058,0.8244182,4,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573
149484,-630.0,-84.0,90.0,-5.0,-0.6666667,0.71428573,9.523183,4.6294665,0.49834538,-4.8937163,-9.0248375,-4.131121,0.8441685,4,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
149485,-630.0,-87.5,90.0,-5.0,-0.6944444,0.71428573,11.974619,8.526815,0.54087925,-3.4478035,-11.43374,-7.985936,2.3162389,4,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
149486,-626.5,-87.5,90.0,-4.9722223,-0.6944444,0.71428573,17.571629,5.8789105,0.9059353,-11.6927185,-16.665693,-4.972975,0.42530528,4,-621.5,0.0,90.0,-4.932539682539683,0.71428573
149608,-630.0,-91.0,90.0,-5.0,-0.7222222,0.71428573,11.415211,6.629292,0.51758003,-4.7859187,-10.897631,-6.111712,1.2770196,4,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
149789,-630.0,105.0,90.0,-5.0,0.8333333,0.71428573,17.127861,9.346887,0.8695717,-7.7809744,-16.25829,-8.477315,1.0894927,4,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573
150090,-630.0,31.5,90.0,-5.0,0.25,0.71428573,11.854459,5.460611,0.5402622,-6.393848,-11.314197,-4.9203486,0.7695442,4,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573
150137,-630.0,77.0,90.0,-5.0,0.6111111,0.71428573,10.36103,5.105701,0.50653267,-5.2553287,-9.854497,-4.5991683,0.8751438,4,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573
150196,-623.0,49.0,90.0,-4.9444447,0.3888889,0.71428573,14.7863865,4.8676686,0.6839256,-9.918718,-14.102461,-4.1837425,0.42180273,4,-618.0,3.141592653589793,90.0,-4.904761904761905,0.71428573
