point_index,x,y,z,x_D,y_D,z_D,nut,nutEq_true,nut_pred,delta_nut_true,delta_nut_pred,delta_error,relative_error,ID,ax,theta,z_original,ax_d,z_d
125820,1638.0,-1.7763568e-15,674.93475,13.0,-1.4098071e-17,5.356625,31.109917,2.4299376,-0.3125038,-28.67998,-31.42242,-2.7424412,0.095622145,1,1643.0,-1.5707963267948966,674.93475,13.03968253968254,5.356625
125821,1610.0,-8.881784e-16,702.68945,12.777778,-7.0490355e-18,5.5769005,31.286514,2.773141,-0.479414,-28.513374,-31.765928,-3.252554,0.11407117,1,1615.0,-1.5707963267948966,702.68945,12.817460317460318,5.5769005
125822,1610.0,0.0,674.92944,12.777778,0.0,5.356583,31.093822,3.046331,-0.31809235,-28.047491,-31.411915,-3.3644238,0.119954534,1,1615.0,-1.5707963267948966,674.92944,12.817460317460318,5.356583
125823,1582.0,-1.7763568e-15,702.684,12.555555,-1.4098071e-17,5.576857,31.263191,2.390732,-0.48628807,-28.87246,-31.74948,-2.87702,0.09964582,1,1587.0,-1.5707963267948966,702.684,12.595238095238095,5.576857
125824,1582.0,-1.7763568e-15,674.9286,12.555555,-1.4098071e-17,5.356576,31.090199,2.7251863,-0.32325745,-28.365013,-31.413456,-3.0484428,0.107471935,1,1587.0,-1.5707963267948966,674.9286,12.595238095238095,5.356576
125825,1554.0,0.0,674.9339,12.333333,0.0,5.3566184,31.107002,1.63702,-0.3276024,-29.469982,-31.434605,-1.9646225,0.06666521,1,1559.0,-1.5707963267948966,674.9339,12.373015873015873,5.3566184
125826,1554.0,1.7763568e-15,702.6848,12.333333,1.4098071e-17,5.576864,31.272701,1.2215074,-0.491642,-30.051193,-31.764343,-1.71315,0.05700772,1,1559.0,-1.5707963267948966,702.6848,12.373015873015873,5.576864
125827,1862.0,-8.881784e-16,702.68256,14.777778,-7.0490355e-18,5.5768456,32.57815,1.2294296,-0.37285614,-31.348722,-32.951008,-1.6022854,0.051111665,1,1867.0,-1.5707963267948966,702.68256,14.817460317460318,5.5768456
125828,1890.0,-8.881784e-16,702.67206,15.0,-7.0490355e-18,5.576762,32.78203,1.9994466,-0.35868835,-30.782581,-33.140717,-2.3581352,0.076606154,1,1895.0,-1.5707963267948966,702.67206,15.03968253968254,5.576762
125829,1890.0,-8.881784e-16,674.9242,15.0,-7.0490355e-18,5.356541,32.174267,2.0826435,-0.22945023,-30.091623,-32.403717,-2.3120937,0.076835126,1,1895.0,-1.5707963267948966,674.9242,15.03968253968254,5.356541
125830,1862.0,-8.881784e-16,674.9242,14.777778,-7.0490355e-18,5.356541,32.004745,1.2388238,-0.24052429,-30.765923,-32.24527,-1.4793472,0.048083954,1,1867.0,-1.5707963267948966,674.9242,14.817460317460318,5.356541
125831,1834.0,8.881784e-16,702.68475,14.555555,7.0490355e-18,5.5768633,32.305233,1.4716237,-0.3900795,-30.833609,-32.695312,-1.8617039,0.060379047,1,1839.0,-1.5707963267948966,702.68475,14.595238095238095,5.5768633
125832,1834.0,-8.881784e-16,674.9242,14.555555,-7.0490355e-18,5.356541,31.778683,1.4862152,-0.2536888,-30.292467,-32.03237,-1.7399044,0.05743687,1,1839.0,-1.5707963267948966,674.9242,14.595238095238095,5.356541
125833,1806.0,0.0,674.92944,14.333333,0.0,5.356583,31.619522,2.326724,-0.26429558,-29.292797,-31.883818,-2.5910206,0.08845248,1,1811.0,-1.5707963267948966,674.92944,14.373015873015873,5.356583
125834,1778.0,0.0,674.92944,14.111111,0.0,5.356583,31.470844,2.011995,-0.27456856,-29.458849,-31.745413,-2.2865639,0.07761891,1,1783.0,-1.5707963267948966,674.92944,14.15079365079365,5.356583
125835,1750.0,-2.6645353e-15,674.9242,13.888889,-2.1147106e-17,5.356541,31.35083,1.4135482,-0.28380394,-29.937283,-31.634634,-1.6973515,0.05669691,1,1755.0,-1.5707963267948966,674.9242,13.928571428571429,5.356541
125837,1526.0,8.881784e-16,758.2005,12.111111,7.0490355e-18,6.017464,33.870907,1.4766785,-0.6294861,-32.39423,-34.500393,-2.106163,0.06501661,1,1531.0,-1.5707963267948966,758.2005,12.15079365079365,6.017464
