point_index,x,y,z,x_D,y_D,z_D,nut,nutEq_true,nut_pred,delta_nut_true,delta_nut_pred,delta_error,relative_error,ID,ax,theta,z_original,ax_d,z_d
56324,-630.0,-1.8535437e-14,140.64265,-5.0,-1.4710665e-16,1.1162115,11.874588,7.368892,0.79746914,-4.505696,-11.077119,-6.571423,1.4584702,1,-625.0,-1.5707963267948961,140.64265,-4.9603174603174605,1.1162115
59144,-630.0,-1.9539925e-14,314.1144,-5.0,-1.5507878e-16,2.4929714,28.09116,8.444679,1.5310688,-19.64648,-26.560091,-6.9136105,0.3519007,1,-625.0,-1.5707963267948966,314.1144,-4.9603174603174605,2.4929714
146530,-630.0,112.0,90.0,-5.0,0.8888889,0.71428573,18.307152,8.807049,1.381855,-9.500103,-16.925297,-7.425194,0.7815909,1,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573
149485,-630.0,-87.5,90.0,-5.0,-0.6944444,0.71428573,11.974619,8.526815,0.6713848,-3.4478035,-11.303234,-7.8554306,2.278387,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
149608,-630.0,-91.0,90.0,-5.0,-0.7222222,0.71428573,11.415211,6.629292,0.62224007,-4.7859187,-10.792971,-6.007052,1.2551513,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
149789,-630.0,105.0,90.0,-5.0,0.8333333,0.71428573,17.127861,9.346887,1.2241211,-7.7809744,-15.90374,-8.122766,1.0439265,1,-625.0,3.141592653589793,90.0,-4.9603174603174605,0.71428573
150457,-630.0,-14.0,90.0,-5.0,-0.11111111,0.71428573,11.380983,9.374705,0.66841316,-2.006278,-10.71257,-8.706292,4.3395243,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
150463,-626.5,-10.5,90.0,-4.9722223,-0.083333336,0.71428573,12.139831,6.4482,0.71942806,-5.6916304,-11.420403,-5.728772,1.0065256,1,-621.5,0.0,90.0,-4.932539682539683,0.71428573
150464,-630.0,-10.5,90.0,-5.0,-0.083333336,0.71428573,12.756083,11.844055,0.79275036,-0.91202736,-11.963332,-11.051305,12.117295,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
150730,-630.0,-3.5,90.0,-5.0,-0.027777778,0.71428573,12.957756,7.1791477,0.7601013,-5.7786083,-12.197655,-6.4190464,1.1108291,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
150915,-630.0,-7.0,90.0,-5.0,-0.055555556,0.71428573,14.202118,10.296815,0.88006496,-3.905303,-13.322053,-9.41675,2.4112725,1,-625.0,0.0,90.0,-4.9603174603174605,0.71428573
