time,Cp
6.4,0.6215834825885713
6.44,0.6212572843844898
6.48,0.6209667642718367
6.52,0.6206656666261224
6.56,0.6203693795567347
6.6,0.6201115738448979
6.64,0.6198032237485713
6.68,0.6196756321910203
6.72,0.6194406288718367
6.76,0.6192315771322449
6.8,0.6190404993069387
6.84,0.6188552969836734
6.88,0.6187253535983673
6.92,0.6186812574220408
6.96,0.6185223851885714
7.0,0.6183910494057142
7.04,0.6183053139804081
7.08,0.618212250590204
7.12,0.618237784672653
7.16,0.6180571679453061
7.2,0.6181900534269388
7.24,0.6180810718604082
7.28,0.6180570193355102
7.32,0.6180822342799999
7.36,0.6180707599216326
7.4,0.6180690596922448
7.44,0.6180570810081631
7.48,0.6180689996285713
7.52,0.6180559785485714
7.56,0.6179744654089796
7.6,0.617991455804898
7.64,0.6178921164938774
7.68,0.618040711310204
7.72,0.6178183297265305
7.76,0.6178556610555102
7.8,0.617777156962449
7.84,0.6177537266702041
7.88,0.6176869041469387
7.92,0.6176075665787755
7.96,0.6174868942473469
8.0,0.6174029570032653
8.04,0.6172998455257142
8.08,0.6172468634048979
8.12,0.6171072996995918
8.16,0.6169859288114286
8.2,0.6167775490620407
8.24,0.6168379969730612
8.28,0.6165657905363265
8.32,0.616438175995102
8.36,0.6163615136922449
8.4,0.6162355749697959
8.44,0.6161085704718368
8.48,0.6159235223657142
8.52,0.6157264650457142
8.56,0.6156655490791836
8.6,0.6155175764277551
8.64,0.6153404703085714
8.68,0.6152177036848979
8.72,0.6150705809640816
8.76,0.6149383543991837
8.8,0.614827191997551
8.84,0.6146666699844897
8.88,0.6146585167910203
8.92,0.6145338207648979
8.96,0.614437494997551
9.0,0.6143341301412244
9.04,0.6142191551469387
9.08,0.6141538276685714
9.12,0.6141472863755102
9.16,0.6140197841404081
9.2,0.61390482336
9.24,0.6138248491591837
9.28,0.6137207804718366
9.32,0.6137214636563265
9.36,0.6135163417134694
9.4,0.6136195085706122
9.44,0.6134606863640816
9.48,0.6133901486546939
9.52,0.6133501807681633
9.56,0.613280749315102
9.6,0.6132220336987755
9.64,0.6131402586334693
9.68,0.6130840896269387
9.72,0.6129946951044898
9.76,0.6128545632138774
9.8,0.6128030799428571
9.84,0.6126369359942857
9.88,0.6127127585795917
9.92,0.6124296208644897
9.96,0.6124191561355102
10.0,0.6122775866391836
10.04,0.612210035032653
10.08,0.6120995648636733
10.12,0.6119783434155102
10.16,0.6118268091453061
10.2,0.6117095264204081
10.24,0.6115783479224489
10.28,0.6115064965534693
10.32,0.611348897155102
10.36,0.6112173399640816
10.4,0.6110061293583673
10.44,0.6110625970114285
10.48,0.6107852108391837
10.52,0.6106685542473469
10.56,0.6105953430987755
10.6,0.6104912395608163
10.64,0.6103856246718367
10.68,0.610219756022857
10.72,0.6100495989232653
10.76,0.6100132423281632
10.8,0.6098971132481632
10.84,0.6097416989918367
10.88,0.6096532445183673
10.92,0.6095268255093877
10.96,0.6094226635077551
11.0,0.6093275993518367
11.04,0.6091912571755101
11.08,0.6091945524971428
11.12,0.609079131467755
11.16,0.6089981085469387
11.2,0.6089014648955102
11.24,0.6087878808946938
11.28,0.6087258715232653
11.32,0.6087081914244897
11.36,0.6085679221363265
11.4,0.608444074437551
11.44,0.6083502902277551
11.48,0.6082261765624489
11.52,0.6081992069387754
11.56,0.607976333875102
11.6,0.608060489115102
11.64,0.6078693795567346
11.68,0.6077728256587754
11.72,0.6076968251387754
11.76,0.6075953969167347
11.8,0.6075150777542857
11.84,0.6074005905820408
11.88,0.6073085839085713
11.92,0.6071854643208163
11.96,0.6070188358032653
12.0,0.6069408621787754
12.04,0.6067526836579592
12.08,0.6067941552179591
12.12,0.606484279662857
12.16,0.6064594223608163
12.2,0.6062837452506122
12.24,0.6062006413967347
12.28,0.6060732453020408
12.32,0.6059355164595918
12.36,0.6057791590963265
12.4,0.6056485518734693
12.44,0.6055009005257143
12.48,0.6054229311804081
12.52,0.6052595468432652
12.56,0.6051280687240816
12.6,0.6049181228122449
12.64,0.6049812603093877
12.68,0.6046968937657142
12.72,0.6045893024081632
12.76,0.6045103037999999
12.8,0.6044193628783673
12.84,0.6043244940685714
12.88,0.6041651423755102
12.92,0.6040077609657142
12.96,0.6039753743093877
13.0,0.6038716395559184
13.04,0.6037196487673469
13.08,0.6036404557608164
13.12,0.6035166036889795
13.16,0.603420103350204
13.2,0.6033184743534693
13.24,0.6031944749844897
13.28,0.6031980033706121
13.32,0.603081693622857
13.36,0.6030028639363265
13.4,0.6029023714432653
13.44,0.6027894716840816
13.48,0.602725194072653
13.52,0.6026985281608163
13.56,0.6025475525012245
13.6,0.6024186575085714
13.64,0.6023156497983673
13.68,0.6021845612440816
13.72,0.6021402681706123
13.76,0.601911928345306
13.8,0.6019916320351021
13.84,0.6017848963567346
13.88,0.6016764505061224
13.92,0.6015816677722449
13.96,0.6014632500865306
14.0,0.6013795123167347
14.04,0.6012514083183673
14.08,0.6011434740767346
14.12,0.6010043883918367
14.16,0.6008291724604081
14.2,0.600741782467755
14.24,0.600545858782857
14.28,0.6005747630767346
14.32,0.6002601131314286
14.36,0.6002355096130613
14.4,0.6000453915714286
14.44,0.599961887604898
14.48,0.5998305827061223
14.52,0.5996904892024489
14.56,0.5995445602751021
14.6,0.5994108281208164
14.64,0.5992558291061224
14.68,0.5991761224938775
14.72,0.5990152080285713
14.76,0.5988868814538775
14.8,0.5986851427134694
14.84,0.5987603561273469
14.88,0.5984732657248979
14.92,0.5983823814285715
14.96,0.5982971711338775
15.0,0.5982180395722448
15.04,0.5981338475053061
15.08,0.5979806582171429
15.12,0.5978331300889795
15.16,0.5978021988963265
15.2,0.5977101661265305
15.24,0.5975554759836734
15.28,0.5974799230979592
15.32,0.5973595966718367
15.36,0.597271859910204
15.4,0.5971619068244897
15.44,0.5970486897763264
15.48,0.5970491400097958
15.52,0.5969341929134694
15.56,0.5968608662465306
15.6,0.5967580901771428
15.64,0.5966458856334693
15.68,0.5965860218636735
15.72,0.596557340582857
15.76,0.5964038254742856
15.8,0.5962827211722448
15.84,0.5961751954563265
15.88,0.5960463205289795
15.92,0.5959913069755102
15.96,0.5957680138114285
16.0,0.5958505230971428
16.04,0.5956396395534693
16.08,0.5955332311363265
16.12,0.5954336205273468
16.16,0.5953097533379591
16.2,0.5952345773820408
16.24,0.5951051928448979
16.28,0.5949960996097959
16.32,0.5948565297028571
16.36,0.5946900772359184
16.4,0.5946036628555101
16.44,0.5944140863485714
16.48,0.5944397124873468
16.52,0.5941317103542857
16.56,0.5941174344163265
16.6,0.5939262176122448
16.64,0.5938527154685714
16.68,0.5937208779314285
16.72,0.5935868131314286
16.76,0.5934568949918366
16.8,0.5933272338228571
16.84,0.5931745987093877
16.88,0.5931003178873469
16.92,0.592948598282449
16.96,0.5928272636693876
17.0,0.5926375745159184
17.04,0.5927293384383673
17.08,0.592446433687347
17.12,0.5923767863355102
17.16,0.5922882111518366
17.2,0.592222939267755
17.24,0.5921493137469388
17.28,0.592003238157551
17.32,0.5918694478057142
17.36,0.5918450291877551
17.4,0.5917653613436734
17.44,0.5916120265730612
17.48,0.5915460364865306
17.52,0.5914295435069387
17.56,0.5913574414971429
17.6,0.5912458528236734
17.64,0.5911479374048979
17.68,0.5911537928571429
17.72,0.5910441026661224
17.76,0.5909804250318367
17.8,0.5908815146457143
17.84,0.5907777329004081
17.88,0.5907305725844898
17.92,0.5907068367787756
