,Q,Ux,Uy,Uz,k,nut,omega,p,vtkOriginalPointIds,x,y,z,ax,rho,theta,Uax,Ur,Ut,Pointsax,Pointsr,Pointst,z_original,x_original,y_original
y,0.00032178719077539497,-0.0005234950016745963,0.024691365433716174,0.04715141436083494,0.0020361660476050617,0.03550021127398863,0.0010752473641914937,-0.00032975303856869176,0.02248509823514106,3.4407194639367527e-16,1.0,2.032831194991454e-18,-1.0125762611915624e-15,3.4773005459420465e-16,0.5315032903936276,-0.000523495001674623,-0.007199028172600435,-0.01126524200005061,-9.692517203743579e-16,-3.47718596995393e-16,-0.7545708667598015,2.032823330231711e-18,-9.692517203743579e-16,1.0000000000000009
z,0.006229835754506351,0.436590271360068,-0.2140315693985304,0.07106904063082682,-0.05853557045157947,0.7284849864506103,-0.26150831413534875,0.005025729373328585,-0.02348433499619051,-0.0003398117754441793,2.032831194991454e-18,1.0,-0.00033981161981777743,0.3072712167570195,-0.3958077145440071,0.436590271360068,-0.0059860191195071,0.0808258897863847,-0.00033981161981781754,-0.47180142992636404,5.911003442344734e-07,0.9999999999999922,-0.00033981161981781754,2.06924996264832e-18
ax,-0.005125907013412406,-0.15073445320050077,0.04655847002762186,-0.09487470411459605,0.3095428088909377,0.19106447806777088,-0.012163639336832361,-0.11651175413014687,-0.2885413866543121,1.0000000000000135,-1.0125762611915624e-15,-0.00033981161981777743,1.0,0.015634221352911988,0.0026253696858748953,-0.15073445320050077,0.22582868483565316,-0.06544166787001555,1.0,-0.011690441910098472,-0.0005688169719032778,-0.0003398114589265337,1.0,-2.2605030857780876e-15
rho,-0.05942772680047436,0.5599737625532726,-0.041909649899443235,0.028271622668640625,-0.40394444786164263,0.5613924579216579,-0.1914879385810471,0.06819855218470945,-0.3645992678209639,0.015634221292509257,3.4773005459420465e-16,0.3072712167570195,0.015634221352911988,1.0,0.10455952142320121,0.5599737625532726,0.08303062827935688,0.37401211976274096,0.01563422135291212,-0.9529437558640392,-0.004602043420119215,0.30727121096060783,0.01563422135291212,2.395314861255786e-15
theta,-0.007530610865016203,-0.10694596536485368,0.31933301584214996,0.1747541514825671,-0.15978694572883864,-0.20289661672530476,0.06545391724424879,0.012163360016316346,-0.27739755997454146,0.002625369727003734,0.5315032903936276,-0.3958077145440071,0.0026253696858748953,0.10455952142320121,1.0,-0.10694596536485368,0.02707828644414907,0.03729857066436341,0.0026253696858749057,0.07090630956499817,-0.7027478882496064,-0.3958077193784223,0.0026253696858749057,0.5315032902939324
Uax,-0.03477957152806725,1.0,-0.16480519811834618,0.10290003046478237,-0.5471858962358126,0.6053157585867268,-0.4148519864181833,0.24006149295116286,-0.33493272398190616,-0.1507344532084252,-0.000523495001674623,0.436590271360068,-0.15073445320050077,0.5599737625532726,-0.10694596536485368,1.0,0.006336406111000797,0.7317190161439656,-0.15073445320050072,-0.6438634929622712,0.011369508387628261,0.4365902661415604,-0.15073445320050072,-0.0005234949787228184
Ur,0.09014875267403352,0.006336406111000797,-0.04324471475432776,-0.12667962378549813,0.24524794053159762,0.21488881150490768,0.06344962026355978,-0.07042787534322112,-0.12722937258469003,0.22582868480299206,-0.007199028172600435,-0.0059860191195071,0.22582868483565316,0.08303062827935688,0.02707828644414907,0.006336406111000797,1.0,0.04039035892667378,0.22582868483565308,-0.08422775463790572,-0.0031899322636942677,-0.005986020612064201,0.22582868483565308,-0.007199028204620364
Ut,-0.1213622780647309,0.7317190161439656,-0.042508446688833336,-0.012622640185940488,-0.41409536049172024,0.31300122282880943,-0.06240923151779639,0.46039247203867184,-0.20105133648731346,-0.06544166783933784,-0.01126524200005061,0.0808258897863847,-0.06544166787001555,0.37401211976274096,0.03729857066436341,0.7317190161439656,0.04039035892667378,1.0,-0.06544166787001554,-0.35325550060405075,0.02505232070193304,0.08082588704261177,-0.06544166787001554,-0.011265241980739926
Pointsax,-0.005125907013412417,-0.15073445320050072,0.046558470027621784,-0.09487470411459605,0.30954280889093777,0.19106447806777094,-0.012163639336832389,-0.11651175413014694,-0.28854138665431234,1.0000000000000133,-9.692517203743579e-16,-0.00033981161981781754,1.0,0.01563422135291212,0.0026253696858749057,-0.15073445320050072,0.22582868483565308,-0.06544166787001554,1.0,-0.011690441910098643,-0.0005688169719033028,-0.00033981145892652496,1.0,-2.3071878405885355e-15
Pointsr,0.04853191797414025,-0.6438634929622712,0.20025587167393818,-0.06953233786690681,0.333086463174037,-0.6755638711915054,0.27343879713330954,-0.060222964546178454,0.38784106464110235,-0.011690441842377837,-3.47718596995393e-16,-0.47180142992636404,-0.011690441910098472,-0.9529437558640392,0.07090630956499817,-0.6438634929622712,-0.08422775463790572,-0.35325550060405075,-0.011690441910098643,1.0,0.003904986803150917,-0.47180142395661706,-0.011690441910098631,-2.218976996052695e-15
Pointst,-0.004704392556623647,0.011369508387628261,-0.05653326225577089,-0.342766104574669,0.0032111635353445495,-0.01126680312983211,-0.005807290403524712,0.0023233500761748096,-0.017006868049210786,-0.0005688169793381291,-0.7545708667598015,5.911003442344734e-07,-0.0005688169719032778,-0.004602043420119215,-0.7027478882496064,0.011369508387628261,-0.0031899322636942677,0.02505232070193304,-0.0005688169719033028,0.003904986803150917,1.0,5.910385740374357e-07,-0.0005688169719033156,-0.7545708666182877
z_original,0.006229835461695642,0.4365902661415604,-0.21403156842999127,0.07106904006035147,-0.05853556751504941,0.7284849828761615,-0.26150831025992743,0.00502572904133626,-0.023484323449258295,-0.0003398116145530299,2.032823330231711e-18,0.9999999999999922,-0.0003398114589265337,0.30727121096060783,-0.3958077193784223,0.4365902661415604,-0.005986020612064201,0.08082588704261177,-0.00033981145892652496,-0.47180142395661706,5.910385740374357e-07,1.0,-0.00033981145892652973,2.0692382921150307e-18
x_original,-0.005125907013412417,-0.15073445320050072,0.046558470027621784,-0.09487470411459605,0.30954280889093777,0.19106447806777094,-0.012163639336832389,-0.11651175413014694,-0.28854138665431234,1.0000000000000133,-9.692517203743579e-16,-0.00033981161981781754,1.0,0.01563422135291212,0.0026253696858749057,-0.15073445320050072,0.22582868483565308,-0.06544166787001554,1.0,-0.011690441910098631,-0.0005688169719033156,-0.00033981145892652973,1.0,-2.3071878405885355e-15
y_original,0.0003217871796401826,-0.0005234949787228184,0.024691365500419317,0.04715141404056658,0.002036166068497552,0.03550021157453153,0.001075247363616424,-0.00032975303554371984,0.02248509825413762,9.715074579202865e-16,1.0000000000000009,2.06924996264832e-18,-2.2605030857780876e-15,2.395314861255786e-15,0.5315032902939324,-0.0005234949787228184,-0.007199028204620364,-0.011265241980739926,-2.3071878405885355e-15,-2.218976996052695e-15,-0.7545708666182877,2.0692382921150307e-18,-2.3071878405885355e-15,1.0
